s,a,r,s'
"(189, 71)","(-5, -5)",-5.0710678118654755,"(184, 66)"
"(184, 66)","(-5, -5)",-7.0710678118654755,"(179, 61)"
"(179, 61)","(-5, -5)",-7.0710678118654755,"(174, 56)"
"(174, 56)","(-5, -5)",-7.0710678118654755,"(169, 51)"
"(169, 51)","(-5, -5)",-6.0710678118654755,"(164, 46)"
"(164, 46)","(-5, -5)",-7.0710678118654755,"(159, 41)"
"(159, 41)","(-5, -5)",-8.071067811865476,"(154, 36)"
"(154, 36)","(-5, -5)",-9.071067811865476,"(149, 31)"
"(149, 31)","(-5, -5)",-8.071067811865476,"(144, 26)"
"(144, 26)","(-5, -5)",-9.071067811865476,"(139, 21)"
"(139, 21)","(-5, -5)",-8.071067811865476,"(134, 16)"
"(134, 16)","(-5, -5)",-6.0710678118654755,"(129, 11)"
"(129, 11)","(-5, -5)",-5.0710678118654755,"(124, 6)"
"(124, 6)","(-5, -5)",-5.0710678118654755,"(119, 1)"
"(119, 1)","(-5, -1)",-4.0990195135927845,"(114, 0)"
"(114, 0)","(-5, 0)",-5.0,"(109, 0)"
"(109, 0)","(-5, 0)",-5.0,"(104, 0)"
"(104, 0)","(-5, 0)",-5.0,"(99, 0)"
"(99, 0)","(-5, 0)",-5.0,"(94, 0)"
"(94, 0)","(-5, 0)",-5.0,"(89, 0)"
"(89, 0)","(-5, 0)",-5.0,"(84, 0)"
"(84, 0)","(-5, 0)",-4.0,"(79, 0)"
"(79, 0)","(-5, 0)",-5.0,"(74, 0)"
"(74, 0)","(-5, 0)",-5.0,"(69, 0)"
"(69, 0)","(-5, 0)",-5.0,"(64, 0)"
"(64, 0)","(-5, 0)",-5.0,"(59, 0)"
"(59, 0)","(-5, 0)",-5.0,"(54, 0)"
"(54, 0)","(-5, 0)",-5.0,"(49, 0)"
"(49, 0)","(-5, 0)",-5.0,"(44, 0)"
"(44, 0)","(-5, 0)",-5.0,"(39, 0)"
"(39, 0)","(-5, 0)",-5.0,"(34, 0)"
"(34, 0)","(-5, 0)",-5.0,"(29, 0)"
"(29, 0)","(-5, 0)",-6.0,"(24, 0)"
"(24, 0)","(-5, 0)",-5.0,"(19, 0)"
"(19, 0)","(-5, 0)",-5.0,"(14, 0)"
"(14, 0)","(-5, 0)",-4.0,"(9, 0)"
"(9, 0)","(-5, 0)",-5.0,"(4, 0)"
"(4, 0)","(-4, 0)",-4.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(58, 77)","(-5, -5)",-6.0710678118654755,"(53, 72)"
"(53, 72)","(-5, -5)",-7.0710678118654755,"(48, 67)"
"(48, 67)","(-5, -5)",-8.071067811865476,"(43, 62)"
"(43, 62)","(-5, -5)",-7.0710678118654755,"(38, 57)"
"(38, 57)","(-5, -5)",-7.0710678118654755,"(33, 52)"
"(33, 52)","(-5, -5)",-6.0710678118654755,"(28, 47)"
"(28, 47)","(-5, -5)",-7.0710678118654755,"(23, 42)"
"(23, 42)","(-5, -5)",-8.071067811865476,"(18, 37)"
"(18, 37)","(-5, -5)",-7.0710678118654755,"(13, 32)"
"(13, 32)","(-5, -5)",-6.0710678118654755,"(8, 27)"
"(8, 27)","(-5, -5)",-7.0710678118654755,"(3, 22)"
"(3, 22)","(-3, -5)",-5.830951894845301,"(0, 17)"
"(0, 17)","(0, -5)",-5.0,"(0, 12)"
"(0, 12)","(0, -5)",-5.0,"(0, 7)"
"(0, 7)","(0, -5)",-5.0,"(0, 2)"
"(0, 2)","(0, -2)",-2.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(51, 129)","(-5, -5)",-4.0710678118654755,"(46, 124)"
"(46, 124)","(-5, -5)",-6.0710678118654755,"(41, 119)"
"(41, 119)","(-5, -5)",-7.0710678118654755,"(36, 114)"
"(36, 114)","(-5, -5)",-7.0710678118654755,"(31, 109)"
"(31, 109)","(-5, -5)",-8.071067811865476,"(26, 104)"
"(26, 104)","(-5, -5)",-9.071067811865476,"(21, 99)"
"(21, 99)","(-5, -5)",-7.0710678118654755,"(16, 94)"
"(16, 94)","(-5, -5)",-6.0710678118654755,"(11, 89)"
"(11, 89)","(-5, -5)",-6.0710678118654755,"(6, 84)"
"(6, 84)","(-5, -5)",-6.0710678118654755,"(1, 79)"
"(1, 79)","(-1, -5)",-5.0990195135927845,"(0, 74)"
"(0, 74)","(0, -5)",-5.0,"(0, 69)"
"(0, 69)","(0, -5)",-6.0,"(0, 64)"
"(0, 64)","(0, -5)",-5.0,"(0, 59)"
"(0, 59)","(0, -5)",-6.0,"(0, 54)"
"(0, 54)","(0, -5)",-5.0,"(0, 49)"
"(0, 49)","(0, -5)",-5.0,"(0, 44)"
"(0, 44)","(0, -5)",-5.0,"(0, 39)"
"(0, 39)","(0, -5)",-4.0,"(0, 34)"
"(0, 34)","(0, -5)",-4.0,"(0, 29)"
"(0, 29)","(0, -5)",-5.0,"(0, 24)"
"(0, 24)","(0, -5)",-5.0,"(0, 19)"
"(0, 19)","(0, -5)",-5.0,"(0, 14)"
"(0, 14)","(0, -5)",-5.0,"(0, 9)"
"(0, 9)","(0, -5)",-5.0,"(0, 4)"
"(0, 4)","(0, -4)",-4.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
"(0, 0)","(0, 1)",-1.0,"(0, 1)"
"(0, 1)","(0, -1)",-1.0,"(0, 0)"
